"Name","Wikipedia_Title","Wikipedia_URL","Image_URL","Birthdate","Height","Position","Nationality","Age"
"Gianluca GALASSI","Gianluca Galassi","https://en.wikipedia.org/wiki/Gianluca_Galassi","https://upload.wikimedia.org/wikipedia/commons/a/a0/Gianluca_Galassi_%28Legavolley_2017%29.jpg","24/07/1997","201 cm","Middle Blocker","Italy","27"
"John Gordon Perrin","John Gordon Perrin","https://en.wikipedia.org/wiki/John_Gordon_Perrin","https://upload.wikimedia.org/wikipedia/commons/f/f1/John_Gordon_Perrin_%28Legavolley_2015%29.jpg","17/08/1989","201 cm","Outside Hitter","Canada","35"
"Osmany JUANTORENA","Osmany Juantorena","https://en.wikipedia.org/wiki/Osmany_Juantorena","https://upload.wikimedia.org/wikipedia/commons/7/74/Osmany_Juantorena_2013.jpg","12/08/1985","200 cm","Outside Hitter","Italy","39"
"Simone Giannelli","Simone Giannelli","https://en.wikipedia.org/wiki/Simone_Giannelli","https://upload.wikimedia.org/wikipedia/commons/8/8f/Simone_Giannelli_%28Legavolley_2022%29.png","09/08/1996","200 cm","Setter","Italy","28"
"Sharone Vernon-Evans","Sharone Vernon-Evans","https://en.wikipedia.org/wiki/Sharone_Vernon-Evans","https://upload.wikimedia.org/wikipedia/commons/8/81/Sharone_Vernon-Evans%2C_CAN-RUS%2C_FIVB%E2%80%8C_Nations_League%2C_Urmia%2C_Iran_20190615.jpg","28/08/1998","202 cm","Opposite Hitter","Canada","26"
"Blair Cameron Bann","Blair Bann","https://en.wikipedia.org/wiki/Blair_Bann","https://upload.wikimedia.org/wikipedia/commons/1/1a/Bann_5250.jpg","26/02/1988","184 cm","Libero","Canada","37"
"TJ Sanders","TJ Sanders","https://en.wikipedia.org/wiki/TJ_Sanders","https://upload.wikimedia.org/wikipedia/commons/7/79/Tyler_Sanders.jpg","14/12/1991","191 cm","Setter","Canada","33"
"Nicholas Hoag","Nicholas Hoag","https://en.wikipedia.org/wiki/Nicholas_Hoag","https://upload.wikimedia.org/wikipedia/commons/1/1b/Nicholas_Hoag_%28Legavolley_2017%29.jpg","19/05/1992","200 cm","Outside Hitter","Canada","32"
"Lucas Van Berkel","Lucas Van Berkel","https://en.wikipedia.org/wiki/Lucas_Van_Berkel","https://upload.wikimedia.org/wikipedia/commons/e/e5/Lucas_Van_Berkel_%28Legavolley_2017%29.jpg","29/11/1991","208 cm","Middle Blocker","Canada","33"
"Massimo Colaci","Massimo Colaci","https://en.wikipedia.org/wiki/Massimo_Colaci","https://upload.wikimedia.org/wikipedia/commons/c/c0/Massimo_Colaci_%28Legavolley_2017%29.jpg","21/02/1985","180 cm","Libero","Italy","40"
"Graham Vigrass","Graham Vigrass","https://en.wikipedia.org/wiki/Graham_Vigrass","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","17/06/1989","205 cm","Middle Blocker","Canada","35"
"Alessandro Michieletto","Alessandro Michieletto","https://en.wikipedia.org/wiki/Alessandro_Michieletto","https://upload.wikimedia.org/wikipedia/commons/f/f0/Alessandro_Michieletto_%28Legavolley_2021%29.png","05/12/2001","211 cm","Outside Hitter","Italy","23"
"Ivan Zaytsev (volleyball)","Ivan Zaytsev (volleyball)","https://en.wikipedia.org/wiki/Ivan_Zaytsev_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Ivan_Zaytsev_%28Legavolley_2019%29_%28cropped%29.jpg/500px-Ivan_Zaytsev_%28Legavolley_2019%29_%28cropped%29.jpg","02/10/1988","204 cm","Outside Hitter","Italy","36"
"Matteo PIANO","Matteo Piano","https://en.wikipedia.org/wiki/Matteo_Piano","https://upload.wikimedia.org/wikipedia/commons/6/68/Matteo_Piano_%28Legavolley_2018%29.jpg","24/10/1990","209 cm","Middle Blocker","Italy","34"
"Ryan Joseph Sclater","Ryan Sclater","https://en.wikipedia.org/wiki/Ryan_Sclater","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/2019055135823_2019-02-24_DVV_Pokalfinale_-_1D_X_MK_II_-_0419_-_B70I2540.jpg/500px-2019055135823_2019-02-24_DVV_Pokalfinale_-_1D_X_MK_II_-_0419_-_B70I2540.jpg","10/02/1994","200 cm","Opposite","Canada","31"
"Riccardo Sbertoli","Riccardo Sbertoli","https://en.wikipedia.org/wiki/Riccardo_Sbertoli","https://upload.wikimedia.org/wikipedia/commons/3/39/Riccardo_Sbertoli_%28Legavolley_2017%29.jpg","23/05/1998","190 cm","Setter","Italy","26"
"Jay Blankenau","Jay Blankenau","https://en.wikipedia.org/wiki/Jay_Blankenau","https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jay_Blankenau.JPG/500px-Jay_Blankenau.JPG","27/09/1989","194 cm","Setter","Canada","35"
"Stephen Timothy Maar","Stephen Maar","https://en.wikipedia.org/wiki/Stephen_Maar","https://upload.wikimedia.org/wikipedia/commons/b/b9/Stephen_Maar_%28Legavolley_2018%29.jpg","06/12/1994","202 cm","Outside Hitter","Canada","30"
"Simone Anzani","Simone Anzani","https://en.wikipedia.org/wiki/Simone_Anzani","https://upload.wikimedia.org/wikipedia/commons/9/91/Simone_Anzani_%28Legavolley_2017%29.jpg","24/02/1992","203 cm","Middle Blocker","Italy","33"
"Luca Vettori","Luca Vettori","https://en.wikipedia.org/wiki/Luca_Vettori","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Luca_Vettori.JPG/500px-Luca_Vettori.JPG","26/04/1991","200 cm","Outside Hitter","Italy","33"
"Daniele LAVIA","Daniele Lavia","https://en.wikipedia.org/wiki/Daniele_Lavia","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Daniele_Lavia_%28Legavolley_2019%29.jpg/500px-Daniele_Lavia_%28Legavolley_2019%29.jpg","04/11/1999","200 cm","Outside Hitter","Italy","25"
"Arthur Szwarc","Arthur Szwarc","https://en.wikipedia.org/wiki/Arthur_Szwarc","https://upload.wikimedia.org/wikipedia/commons/3/3a/Arthur_Szwarc_%28Legavolley_2022%29.jpg","30/03/1995","207 cm","Middle Blocker","Canada","29"
"Fabio Balaso","Fabio Balaso","https://en.wikipedia.org/wiki/Fabio_Balaso","https://upload.wikimedia.org/wikipedia/commons/b/ba/Fabio_Balaso_%28Legavolley_2017%29.jpg","20/10/1995","178 cm","Libero","Italy","29"
"Steven Marshall (volleyball)","Steven Marshall (volleyball)","https://en.wikipedia.org/wiki/Steven_Marshall_(volleyball)","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","23/11/1989","193 cm","Outside Hitter","Canada","35"
"Jiri Kovar","Jiří Kovář","https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Kov%C3%A1%C5%99","https://upload.wikimedia.org/wikipedia/commons/f/f4/Ji%C5%99%C3%AD_Kov%C3%A1%C5%993.JPG","10/04/1989","202 cm","Outside Hitter","Italy","35"
"Thales Hoss","Thales Hoss","https://en.wikipedia.org/wiki/Thales_Hoss","https://upload.wikimedia.org/wikipedia/commons/a/ac/Default_pfp.jpg","27/04/1989","188 cm","Libero","Brazil","35"
